from	to	chr	start	end	different
Th106.11	Th230.12	11	709200	1230473	0
Th106.11	Th230.12	11	1245932	1687527	1
Th106.11	Th230.12	11	1699474	1991611	0
Th106.11	Th230.12	11	1993339	1999124	1
Th106.11	Th230.12	12	62109	2194957	0
Th106.11	Th230.12	13	1954996	1954996	0
Th106.11	Th074.13	1	94591	554668	0
Th106.11	Th074.13	2	117138	587338	0
Th106.11	Th074.13	2	604943	719769	1
Th106.11	Th074.13	2	725550	869521	0
Th106.11	Th074.13	3	69859	443515	0
Th106.11	Th074.13	3	451892	989071	1
Th106.11	Th074.13	4	89547	311794	0
Th106.11	Th074.13	4	322902	491446	1
Th106.11	Th074.13	4	505898	1149070	0
Th106.11	Th074.13	5	52324	209940	0
Th106.11	Th074.13	5	224735	619910	1
Th106.11	Th074.13	5	639623	1289222	0
Th106.11	Th074.13	6	85178	1238724	0
Th106.11	Th074.13	7	96181	1373159	0
Th106.11	Th074.13	8	83129	91317	1
Th106.11	Th074.13	8	117103	926966	0
Th106.11	Th074.13	8	936384	943546	1
Th106.11	Th074.13	8	951697	1369816	0
Th106.11	Th074.13	9	89887	1468673	0
Th106.11	Th074.13	10	62857	1566532	0
Th106.11	Th074.13	11	114623	659735	0
Th106.11	Th074.13	11	676102	703107	1
Th106.11	Th074.13	11	709200	1230473	0
Th106.11	Th074.13	11	1245932	1913843	1
Th106.11	Th074.13	11	1934629	1999124	0
Th106.11	Th074.13	12	62109	2194957	0
Th106.11	Th074.13	13	1954996	1954996	0
Th106.11	Th166.12	1	94591	554668	1
Th106.11	Th166.12	2	117138	869521	1
Th106.11	Th166.12	3	69859	989071	1
Th106.11	Th166.12	4	89547	1149070	1
Th106.11	Th166.12	5	52324	1289222	1
Th106.11	Th166.12	6	85178	1238724	1
Th106.11	Th166.12	7	96181	1373159	1
Th106.11	Th166.12	8	83129	1369816	1
Th106.11	Th166.12	9	89887	1468673	1
Th106.11	Th166.12	10	62857	1566532	1
Th106.11	Th166.12	11	114623	1999124	1
Th106.11	Th166.12	12	62109	2194957	1
Th106.11	Th166.12	13	1954996	1954996	1
Th117.11	Th132.11	1	94591	554668	0
Th117.11	Th132.11	2	117138	678434	0
Th117.11	Th132.11	2	701988	719769	1
Th117.11	Th132.11	2	725550	869521	0
Th117.11	Th132.11	3	69859	443515	0
Th117.11	Th132.11	3	451892	505929	1
Th117.11	Th132.11	3	516348	801406	0
Th117.11	Th132.11	3	806413	989071	1
Th117.11	Th132.11	4	89547	1149070	0
Th117.11	Th132.11	5	52324	355205	0
Th117.11	Th132.11	5	361998	619910	1
Th117.11	Th132.11	5	639623	1289222	0
Th117.11	Th132.11	6	85178	1238724	0
Th117.11	Th132.11	7	96181	1373159	0
Th117.11	Th132.11	8	83129	227113	1
Th117.11	Th132.11	8	237056	926966	0
Th117.11	Th132.11	8	936384	943546	1
Th117.11	Th132.11	8	951697	1369816	0
Th117.11	Th132.11	9	89887	260914	0
Th117.11	Th132.11	9	272203	572993	1
Th117.11	Th132.11	9	578189	1468673	0
Th117.11	Th132.11	10	62857	1566532	0
Th117.11	Th132.11	11	114623	659735	0
Th117.11	Th132.11	11	676102	703107	1
Th117.11	Th132.11	11	709200	1069278	0
Th117.11	Th132.11	11	1094639	1687527	1
Th117.11	Th132.11	11	1699474	1991611	0
Th117.11	Th132.11	11	1993339	1999124	1
Th117.11	Th132.11	12	62109	2194957	0
Th117.11	Th132.11	13	1954996	1954996	0
Th117.11	Th134.11	1	94591	554668	0
Th117.11	Th134.11	2	117138	869521	0
Th117.11	Th134.11	3	69859	719048	0
Th117.11	Th134.11	3	732960	758658	1
Th117.11	Th134.11	3	767738	989071	0
Th117.11	Th134.11	4	89547	1149070	0
Th117.11	Th134.11	5	52324	848311	0
Th117.11	Th134.11	5	870028	993153	1
Th117.11	Th134.11	5	1006148	1289222	0
Th117.11	Th134.11	6	85178	1238724	0
Th117.11	Th134.11	7	96181	1373159	0
Th117.11	Th134.11	8	83129	1369816	0
Th117.11	Th134.11	9	89887	413879	0
Th117.11	Th134.11	9	424314	771645	1
Th117.11	Th134.11	9	781952	1468673	0
Th117.11	Th134.11	10	62857	1566532	0
Th117.11	Th134.11	11	114623	1999124	0
Th117.11	Th134.11	12	62109	2194957	0
Th117.11	Th134.11	13	1954996	1954996	0
Th117.11	Th196.12	1	94591	435364	1
Th117.11	Th196.12	1	481114	554668	0
Th117.11	Th196.12	2	117138	275582	1
Th117.11	Th196.12	2	290044	678434	0
Th117.11	Th196.12	2	701988	801989	1
Th117.11	Th196.12	2	819782	869521	0
Th117.11	Th196.12	3	69859	443515	0
Th117.11	Th196.12	3	451892	505929	1
Th117.11	Th196.12	3	516348	801406	0
Th117.11	Th196.12	3	806413	989071	1
Th117.11	Th196.12	4	89547	1149070	0
Th117.11	Th196.12	5	52324	355205	0
Th117.11	Th196.12	5	361998	619910	1
Th117.11	Th196.12	5	639623	1289222	0
Th117.11	Th196.12	6	85178	1238724	0
Th117.11	Th196.12	7	96181	1373159	0
Th117.11	Th196.12	8	83129	926966	0
Th117.11	Th196.12	8	936384	991988	1
Th117.11	Th196.12	8	1001983	1369816	0
Th117.11	Th196.12	9	89887	260914	0
Th117.11	Th196.12	9	272203	572993	1
Th117.11	Th196.12	9	578189	1468673	0
Th117.11	Th196.12	10	62857	1566532	0
Th117.11	Th196.12	11	114623	659735	0
Th117.11	Th196.12	11	676102	703107	1
Th117.11	Th196.12	11	709200	1069278	0
Th117.11	Th196.12	11	1094639	1687527	1
Th117.11	Th196.12	11	1699474	1991611	0
Th117.11	Th196.12	11	1993339	1999124	1
Th117.11	Th196.12	12	62109	529559	0
Th117.11	Th196.12	12	537046	544926	1
Th117.11	Th196.12	12	561583	2194957	0
Th117.11	Th196.12	13	1954996	1954996	0
Th117.11	Th230.12	1	94591	554668	0
Th117.11	Th230.12	2	117138	275582	1
Th117.11	Th230.12	2	290044	678434	0
Th117.11	Th230.12	2	701988	719769	1
Th117.11	Th230.12	2	725550	869521	0
Th117.11	Th230.12	3	69859	443515	0
Th117.11	Th230.12	3	451892	505929	1
Th117.11	Th230.12	3	516348	801406	0
Th117.11	Th230.12	3	806413	989071	1
Th117.11	Th230.12	4	89547	1139515	0
Th117.11	Th230.12	4	1145557	1149070	1
Th117.11	Th230.12	5	52324	355205	0
Th117.11	Th230.12	5	361998	619910	1
Th117.11	Th230.12	5	639623	1289222	0
Th117.11	Th230.12	6	85178	1238724	0
Th117.11	Th230.12	7	96181	1373159	0
Th117.11	Th230.12	8	83129	926966	0
Th117.11	Th230.12	8	936384	943546	1
Th117.11	Th230.12	8	951697	1369816	0
Th117.11	Th230.12	9	89887	260914	0
Th117.11	Th230.12	9	272203	572993	1
Th117.11	Th230.12	9	578189	1468673	0
Th117.11	Th230.12	10	62857	1566532	0
Th117.11	Th230.12	11	114623	659735	0
Th117.11	Th230.12	11	676102	1687527	1
Th117.11	Th230.12	11	1699474	1991611	0
Th117.11	Th230.12	11	1993339	1999124	1
Th117.11	Th230.12	12	62109	2194957	0
Th117.11	Th230.12	13	1954996	1954996	0
Th117.11	Th074.13	1	94591	554668	0
Th117.11	Th074.13	2	117138	678434	0
Th117.11	Th074.13	2	701988	719769	1
Th117.11	Th074.13	2	725550	869521	0
Th117.11	Th074.13	3	69859	443515	0
Th117.11	Th074.13	3	451892	989071	1
Th117.11	Th074.13	4	89547	377129	0
Th117.11	Th074.13	4	386623	491446	1
Th117.11	Th074.13	4	505898	1149070	0
Th117.11	Th074.13	5	52324	355205	0
Th117.11	Th074.13	5	361998	619910	1
Th117.11	Th074.13	5	639623	1289222	0
Th117.11	Th074.13	6	85178	1238724	0
Th117.11	Th074.13	7	96181	1373159	0
Th117.11	Th074.13	8	83129	91317	1
Th117.11	Th074.13	8	117103	926966	0
Th117.11	Th074.13	8	936384	943546	1
Th117.11	Th074.13	8	951697	1369816	0
Th117.11	Th074.13	9	89887	260914	0
Th117.11	Th074.13	9	272203	572993	1
Th117.11	Th074.13	9	578189	1468673	0
Th117.11	Th074.13	10	62857	1566532	0
Th117.11	Th074.13	11	114623	659735	0
Th117.11	Th074.13	11	676102	703107	1
Th117.11	Th074.13	11	709200	1069278	0
Th117.11	Th074.13	11	1094639	1913843	1
Th117.11	Th074.13	11	1934629	1999124	0
Th117.11	Th074.13	12	62109	2194957	0
Th117.11	Th074.13	13	1954996	1954996	0
Th117.11	Th166.12	1	94591	554668	1
Th117.11	Th166.12	2	117138	869521	1
Th117.11	Th166.12	3	69859	989071	1
Th117.11	Th166.12	4	89547	1149070	1
Th117.11	Th166.12	5	52324	1289222	1
Th117.11	Th166.12	6	85178	1238724	1
Th117.11	Th166.12	7	96181	1373159	1
Th117.11	Th166.12	8	83129	1369816	1
Th117.11	Th166.12	9	89887	1468673	1
Th117.11	Th166.12	10	62857	1566532	1
Th117.11	Th166.12	11	114623	1999124	1
Th117.11	Th166.12	12	62109	2194957	1
Th117.11	Th166.12	13	1954996	1954996	1
Th132.11	Th134.11	1	94591	554668	0
Th132.11	Th134.11	2	117138	678434	0
Th132.11	Th134.11	2	701988	719769	1
Th132.11	Th134.11	2	725550	869521	0
Th132.11	Th134.11	3	69859	443515	0
Th132.11	Th134.11	3	451892	989071	1
Th132.11	Th134.11	4	89547	1149070	0
Th132.11	Th134.11	5	52324	355205	0
Th132.11	Th134.11	5	361998	1173366	1
Th132.11	Th134.11	5	1178037	1289222	0
Th132.11	Th134.11	6	85178	1238724	0
Th132.11	Th134.11	7	96181	1373159	0
Th132.11	Th134.11	8	83129	227113	1
Th132.11	Th134.11	8	237056	512312	0
Th132.11	Th134.11	8	538659	943546	1
Th132.11	Th134.11	8	951697	1369816	0
Th132.11	Th134.11	9	89887	1468673	0
Th132.11	Th134.11	10	62857	1566532	0
Th132.11	Th134.11	11	114623	659735	0
Th132.11	Th134.11	11	676102	703107	1
Th132.11	Th134.11	11	709200	1230473	0
Th132.11	Th134.11	11	1245932	1687527	1
Th132.11	Th134.11	11	1699474	1991611	0
Th132.11	Th134.11	11	1993339	1999124	1
Th132.11	Th134.11	12	62109	2194957	0
Th132.11	Th134.11	13	1954996	1954996	0
Th132.11	Th196.12	1	94591	137258	1
Th132.11	Th196.12	1	165214	397112	0
Th132.11	Th196.12	1	421990	435364	1
Th132.11	Th196.12	1	481114	554668	0
Th132.11	Th196.12	2	117138	275582	1
Th132.11	Th196.12	2	290044	869521	0
Th132.11	Th196.12	3	69859	989071	0
Th132.11	Th196.12	4	89547	1149070	0
Th132.11	Th196.12	5	52324	1289222	0
Th132.11	Th196.12	6	85178	1238724	0
Th132.11	Th196.12	7	96181	1373159	0
Th132.11	Th196.12	8	83129	227113	1
Th132.11	Th196.12	8	237056	1369816	0
Th132.11	Th196.12	9	89887	1468673	0
Th132.11	Th196.12	10	62857	1566532	0
Th132.11	Th196.12	11	114623	1999124	0
Th132.11	Th196.12	12	62109	544926	1
Th132.11	Th196.12	12	561583	2194957	0
Th132.11	Th196.12	13	1954996	1954996	0
Th132.11	Th230.12	1	94591	554668	0
Th132.11	Th230.12	2	117138	275582	1
Th132.11	Th230.12	2	290044	869521	0
Th132.11	Th230.12	3	69859	989071	0
Th132.11	Th230.12	4	89547	1149070	0
Th132.11	Th230.12	5	52324	1289222	0
Th132.11	Th230.12	6	85178	1238724	0
Th132.11	Th230.12	7	96181	1373159	0
Th132.11	Th230.12	8	83129	227113	1
Th132.11	Th230.12	8	237056	1369816	0
Th132.11	Th230.12	9	89887	1468673	0
Th132.11	Th230.12	10	62857	1566532	0
Th132.11	Th230.12	11	114623	1999124	0
Th132.11	Th230.12	12	62109	2194957	0
Th132.11	Th230.12	13	1954996	1954996	0
Th132.11	Th074.13	1	94591	554668	0
Th132.11	Th074.13	2	117138	869521	0
Th132.11	Th074.13	3	69859	989071	0
Th132.11	Th074.13	4	89547	462711	0
Th132.11	Th074.13	4	468194	491446	1
Th132.11	Th074.13	4	505898	1149070	0
Th132.11	Th074.13	5	52324	1289222	0
Th132.11	Th074.13	6	85178	1238724	0
Th132.11	Th074.13	7	96181	1373159	0
Th132.11	Th074.13	8	83129	227113	1
Th132.11	Th074.13	8	237056	1369816	0
Th132.11	Th074.13	9	89887	1468673	0
Th132.11	Th074.13	10	62857	1566532	0
Th132.11	Th074.13	11	114623	1902637	0
Th132.11	Th074.13	11	1910597	1999124	1
Th132.11	Th074.13	12	62109	2194957	0
Th132.11	Th074.13	13	1954996	1954996	0
Th132.11	Th166.12	1	94591	554668	1
Th132.11	Th166.12	2	117138	869521	1
Th132.11	Th166.12	3	69859	989071	1
Th132.11	Th166.12	4	89547	1149070	1
Th132.11	Th166.12	5	52324	1289222	1
Th132.11	Th166.12	6	85178	1238724	1
Th132.11	Th166.12	7	96181	1373159	1
Th132.11	Th166.12	8	83129	1369816	1
Th132.11	Th166.12	9	89887	1468673	1
Th132.11	Th166.12	10	62857	1566532	1
Th132.11	Th166.12	11	114623	1999124	1
Th132.11	Th166.12	12	62109	2194957	1
Th132.11	Th166.12	13	1954996	1954996	0
Th134.11	Th196.12	1	94591	435364	1
Th134.11	Th196.12	1	481114	554668	0
Th134.11	Th196.12	2	117138	275582	1
Th134.11	Th196.12	2	290044	678434	0
Th134.11	Th196.12	2	701988	801989	1
Th134.11	Th196.12	2	819782	869521	0
Th134.11	Th196.12	3	69859	443515	0
Th134.11	Th196.12	3	451892	989071	1
Th134.11	Th196.12	4	89547	1149070	0
Th134.11	Th196.12	5	52324	355205	0
Th134.11	Th196.12	5	361998	1289222	1
Th134.11	Th196.12	6	85178	1238724	0
Th134.11	Th196.12	7	96181	1373159	0
Th134.11	Th196.12	8	83129	926966	0
Th134.11	Th196.12	8	936384	991988	1
Th134.11	Th196.12	8	1001983	1369816	0
Th134.11	Th196.12	9	89887	1468673	0
Th134.11	Th196.12	10	62857	1566532	0
Th134.11	Th196.12	11	114623	659735	0
Th134.11	Th196.12	11	676102	703107	1
Th134.11	Th196.12	11	709200	1230473	0
Th134.11	Th196.12	11	1245932	1687527	1
Th134.11	Th196.12	11	1699474	1991611	0
Th134.11	Th196.12	11	1993339	1999124	1
Th134.11	Th196.12	12	62109	529559	0
Th134.11	Th196.12	12	537046	544926	1
Th134.11	Th196.12	12	561583	2194957	0
Th134.11	Th196.12	13	1954996	1954996	0
Th134.11	Th230.12	1	94591	554668	0
Th134.11	Th230.12	2	117138	275582	1
Th134.11	Th230.12	2	290044	678434	0
Th134.11	Th230.12	2	701988	719769	1
Th134.11	Th230.12	2	725550	869521	0
Th134.11	Th230.12	3	69859	443515	0
Th134.11	Th230.12	3	451892	989071	1
Th134.11	Th230.12	4	89547	1149070	0
Th134.11	Th230.12	5	52324	355205	0
Th134.11	Th230.12	5	361998	1173366	1
Th134.11	Th230.12	5	1178037	1289222	0
Th134.11	Th230.12	6	85178	1238724	0
Th134.11	Th230.12	7	96181	1186353	0
Th134.11	Th230.12	7	1190243	1373159	1
Th134.11	Th230.12	8	83129	926966	0
Th134.11	Th230.12	8	936384	943546	1
Th134.11	Th230.12	8	951697	1369816	0
Th134.11	Th230.12	9	89887	1468673	0
Th134.11	Th230.12	10	62857	1566532	0
Th134.11	Th230.12	11	114623	659735	0
Th134.11	Th230.12	11	676102	703107	1
Th134.11	Th230.12	11	709200	1230473	0
Th134.11	Th230.12	11	1245932	1687527	1
Th134.11	Th230.12	11	1699474	1991611	0
Th134.11	Th230.12	11	1993339	1999124	1
Th134.11	Th230.12	12	62109	2194957	0
Th134.11	Th230.12	13	1954996	1954996	0
Th134.11	Th074.13	1	94591	554668	0
Th134.11	Th074.13	2	117138	678434	0
Th134.11	Th074.13	2	701988	719769	1
Th134.11	Th074.13	2	725550	869521	0
Th134.11	Th074.13	3	69859	443515	0
Th134.11	Th074.13	3	451892	989071	1
Th134.11	Th074.13	4	89547	377129	0
Th134.11	Th074.13	4	386623	491446	1
Th134.11	Th074.13	4	505898	1149070	0
Th134.11	Th074.13	5	52324	355205	0
Th134.11	Th074.13	5	361998	956486	1
Th134.11	Th074.13	5	981740	1289222	0
Th134.11	Th074.13	6	85178	1238724	0
Th134.11	Th074.13	7	96181	1373159	0
Th134.11	Th074.13	8	83129	91317	1
Th134.11	Th074.13	8	117103	926966	0
Th134.11	Th074.13	8	936384	943546	1
Th134.11	Th074.13	8	951697	1369816	0
Th134.11	Th074.13	9	89887	1468673	0
Th134.11	Th074.13	10	62857	1566532	0
Th134.11	Th074.13	11	114623	659735	0
Th134.11	Th074.13	11	676102	703107	1
Th134.11	Th074.13	11	709200	1230473	0
Th134.11	Th074.13	11	1245932	1913843	1
Th134.11	Th074.13	11	1934629	1999124	0
Th134.11	Th074.13	12	62109	2194957	0
Th134.11	Th074.13	13	1954996	1954996	0
Th134.11	Th166.12	1	94591	554668	1
Th134.11	Th166.12	2	117138	869521	1
Th134.11	Th166.12	3	69859	989071	1
Th134.11	Th166.12	4	89547	1149070	1
Th134.11	Th166.12	5	52324	1289222	1
Th134.11	Th166.12	6	85178	1238724	1
Th134.11	Th166.12	7	96181	1373159	1
Th134.11	Th166.12	8	83129	1369816	1
Th134.11	Th166.12	9	89887	1468673	1
Th134.11	Th166.12	10	62857	1566532	1
Th134.11	Th166.12	11	114623	1999124	1
Th134.11	Th166.12	12	62109	2194957	1
Th134.11	Th166.12	13	1954996	1954996	1
Th196.12	Th230.12	1	94591	137258	1
Th196.12	Th230.12	1	165214	397112	0
Th196.12	Th230.12	1	421990	435364	1
Th196.12	Th230.12	1	481114	554668	0
Th196.12	Th230.12	2	117138	869521	0
Th196.12	Th230.12	3	69859	989071	0
Th196.12	Th230.12	4	89547	1139515	0
Th196.12	Th230.12	4	1145557	1149070	1
Th196.12	Th230.12	5	52324	1289222	0
Th196.12	Th230.12	6	85178	1238724	0
Th196.12	Th230.12	7	96181	1373159	0
Th196.12	Th230.12	8	83129	1369816	0
Th196.12	Th230.12	9	89887	1468673	0
Th196.12	Th230.12	10	62857	1566532	0
Th196.12	Th230.12	11	114623	1999124	0
Th196.12	Th230.12	12	62109	529559	0
Th196.12	Th230.12	12	537046	544926	1
Th196.12	Th230.12	12	561583	2194957	0
Th196.12	Th230.12	13	1954996	1954996	0
Th196.12	Th074.13	1	94591	435364	1
Th196.12	Th074.13	1	481114	554668	0
Th196.12	Th074.13	2	117138	275582	1
Th196.12	Th074.13	2	290044	869521	0
Th196.12	Th074.13	3	69859	989071	0
Th196.12	Th074.13	4	89547	462711	0
Th196.12	Th074.13	4	468194	505898	1
Th196.12	Th074.13	4	511806	1149070	0
Th196.12	Th074.13	5	52324	929884	0
Th196.12	Th074.13	5	937121	1289222	1
Th196.12	Th074.13	6	85178	1238724	0
Th196.12	Th074.13	7	96181	1373159	0
Th196.12	Th074.13	8	83129	1369816	0
Th196.12	Th074.13	9	89887	1468673	0
Th196.12	Th074.13	10	62857	1566532	0
Th196.12	Th074.13	11	114623	1902637	0
Th196.12	Th074.13	11	1910597	1999124	1
Th196.12	Th074.13	12	62109	496227	0
Th196.12	Th074.13	12	509568	544926	1
Th196.12	Th074.13	12	561583	2194957	0
Th196.12	Th074.13	13	1954996	1954996	0
Th196.12	Th166.12	1	94591	554668	1
Th196.12	Th166.12	2	117138	869521	1
Th196.12	Th166.12	3	69859	989071	1
Th196.12	Th166.12	4	89547	1149070	1
Th196.12	Th166.12	5	52324	1289222	1
Th196.12	Th166.12	6	85178	1238724	1
Th196.12	Th166.12	7	96181	1373159	1
Th196.12	Th166.12	8	83129	1369816	1
Th196.12	Th166.12	9	89887	1468673	1
Th196.12	Th166.12	10	62857	1566532	1
Th196.12	Th166.12	11	114623	1999124	1
Th196.12	Th166.12	12	62109	2194957	1
Th196.12	Th166.12	13	1954996	1954996	1
Th230.12	Th074.13	1	94591	554668	0
Th230.12	Th074.13	2	117138	275582	1
Th230.12	Th074.13	2	290044	869521	0
Th230.12	Th074.13	3	69859	989071	0
Th230.12	Th074.13	4	89547	462711	0
Th230.12	Th074.13	4	468194	491446	1
Th230.12	Th074.13	4	505898	1139515	0
Th230.12	Th074.13	4	1145557	1149070	1
Th230.12	Th074.13	5	52324	1289222	0
Th230.12	Th074.13	6	85178	1238724	0
Th230.12	Th074.13	7	96181	1373159	0
Th230.12	Th074.13	8	83129	91317	1
Th230.12	Th074.13	8	117103	1369816	0
Th230.12	Th074.13	9	89887	1468673	0
Th230.12	Th074.13	10	62857	1566532	0
Th230.12	Th074.13	11	114623	1902637	0
Th230.12	Th074.13	11	1910597	1999124	1
Th230.12	Th074.13	12	62109	2194957	0
Th230.12	Th074.13	13	1954996	1954996	0
Th230.12	Th166.12	1	94591	554668	1
Th230.12	Th166.12	2	117138	869521	1
Th230.12	Th166.12	3	69859	989071	1
Th230.12	Th166.12	4	89547	1149070	1
Th230.12	Th166.12	5	52324	1289222	1
Th230.12	Th166.12	6	85178	1238724	1
Th230.12	Th166.12	7	96181	1373159	1
Th230.12	Th166.12	8	83129	1369816	1
Th230.12	Th166.12	9	89887	1468673	1
Th230.12	Th166.12	10	62857	1566532	1
Th230.12	Th166.12	11	114623	1999124	1
Th230.12	Th166.12	12	62109	2194957	1
Th230.12	Th166.12	13	1954996	1954996	1
Th074.13	Th166.12	1	94591	554668	1
Th074.13	Th166.12	2	117138	869521	1
Th074.13	Th166.12	3	69859	989071	1
Th074.13	Th166.12	4	89547	1149070	1
Th074.13	Th166.12	5	52324	1289222	1
Th074.13	Th166.12	6	85178	1238724	1
Th074.13	Th166.12	7	96181	1373159	1
Th074.13	Th166.12	8	83129	1369816	1
Th074.13	Th166.12	9	89887	1468673	1
Th074.13	Th166.12	10	62857	1566532	1
Th074.13	Th166.12	11	114623	1999124	1
Th074.13	Th166.12	12	62109	2194957	1
Th074.13	Th166.12	13	1954996	1954996	1
