# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_exon_loss_variant+splice_acceptor_variant+splice_donor_variant+splice_region_variant+intron_variant	variants_effect_exon_loss_variant+splice_acceptor_variant+splice_donor_variant+splice_region_variant+synonymous_variant+intron_variant	variants_effect_exon_loss_variant+splice_region_variant	variants_effect_exon_loss_variant+start_lost+splice_acceptor_variant+splice_donor_variant+splice_region_variant+synonymous_variant+intron_variant	variants_effect_exon_loss_variant+start_lost+splice_region_variant+synonymous_variant	variants_effect_frameshift_variant	variants_effect_frameshift_variant+missense_variant	variants_effect_frameshift_variant+splice_acceptor_variant+splice_donor_variant+missense_variant+splice_region_variant+intron_variant	variants_effect_frameshift_variant+splice_acceptor_variant+splice_donor_variant+splice_region_variant+synonymous_variant+intron_variant	variants_effect_frameshift_variant+start_lost	variants_effect_frameshift_variant+start_lost+missense_variant	variants_effect_frameshift_variant+stop_gained	variants_effect_frameshift_variant+stop_gained+start_lost	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_missense_variant+disruptive_inframe_deletion	variants_effect_missense_variant+inframe_deletion	variants_effect_missense_variant+inframe_insertion	variants_effect_missense_variant+splice_region_variant	variants_effect_non_coding_exon_variant	variants_effect_splice_acceptor_variant+intron_variant	variants_effect_splice_acceptor_variant+splice_donor_variant+missense_variant+disruptive_inframe_deletion+splice_region_variant+intron_variant	variants_effect_splice_donor_variant+inframe_deletion+splice_region_variant+intron_variant	variants_effect_splice_donor_variant+intron_variant	variants_effect_splice_region_variant+intron_variant	variants_effect_splice_region_variant+stop_retained_variant	variants_effect_splice_region_variant+synonymous_variant	variants_effect_start_lost	variants_effect_start_lost+inframe_insertion	variants_effect_start_lost+missense_variant+disruptive_inframe_deletion	variants_effect_start_lost+splice_acceptor_variant+splice_donor_variant+splice_region_variant+intron_variant	variants_effect_start_lost+splice_acceptor_variant+splice_donor_variant+splice_region_variant+synonymous_variant+intron_variant	variants_effect_start_lost+splice_donor_variant+splice_region_variant+synonymous_variant+intron_variant	variants_effect_start_lost+splice_region_variant	variants_effect_start_lost+splice_region_variant+synonymous_variant	variants_effect_stop_gained	variants_effect_stop_gained+disruptive_inframe_insertion	variants_effect_stop_gained+inframe_insertion	variants_effect_stop_gained+splice_region_variant	variants_effect_stop_lost	variants_effect_stop_lost+splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_NONE	total_score_NONE	length_NONE	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_DONOR	total_score_SPLICE_SITE_DONOR	length_SPLICE_SITE_DONOR	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
PF3D7_0715100	PF3D7_0715100	rna_PF3D7_0715100-1		0	0	1	505	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	209	0	5000	1	0	158	229	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	5000
PF3D7_0715200	PF3D7_0715200	rna_PF3D7_0715200-1		0	3	26	593	2	1	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	172	421	0	5000	29	0	6621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	5000
PF3D7_0715300	PF3D7_0715300	rna_PF3D7_0715300-1		0	6	0	444	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	83	0	5000	0	0	0	12	0	265	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	349	0	5000
PF3D7_0715400	PF3D7_0715400	rna_PF3D7_0715400-1		3	4	6	423	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	5	0	0	0	1	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	233	166	0	5000	7	0	35	24	0	118	0	0	0	0	0	0	2	0	2	4	0	6	0	0	0	233	0	5000
PF3D7_0715500	PF3D7_0715500	rna_PF3D7_0715500-1		3	3	2	416	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	2	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	178	147	0	5000	3	0	65	91	0	154	0	0	0	0	0	0	2	0	2	3	0	65	0	0	0	178	0	5000
PF3D7_0715600	PF3D7_0715600	rna_PF3D7_0715600-1		0	0	0	750	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	401	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	5000
PF3D7_0715700	PF3D7_0715700	rna_PF3D7_0715700-1		0	0	0	701	0	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	428	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	5000
PF3D7_0715800	PF3D7_0715800	rna_PF3D7_0715800-1		1	3	5	687	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	444	243	0	5000	8	0	1305	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1305	0	0	0	444	0	5000
PF3D7_0715900	PF3D7_0715900	rna_PF3D7_0715900-1		0	2	0	606	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	431	175	0	5000	2	0	1671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	5000
PF3D7_0716000	PF3D7_0716000	rna_PF3D7_0716000-1		0	5	15	510	1	1	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	267	243	0	5000	20	0	3378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	5000
PF3D7_0716100	PF3D7_0716100	rna_PF3D7_0716100-1		5	2	4	726	3	0	224	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	502	224	0	5000	11	0	3210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502	0	5000
PF3D7_0716200	PF3D7_0716200	rna_PF3D7_0716200-1		0	0	3	820	0	1	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	550	0	5000	3	0	2499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	5000
PF3D7_0716300	PF3D7_0716300	rna_PF3D7_0716300-1		0	0	4	818	0	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	385	0	5000	4	0	1433	7	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	5000
PF3D7_0716400	PF3D7_0716400	rna_PF3D7_0716400-1		44	3	0	936	0	0	330	0	16	17	0	0	0	0	0	6	1	0	0	0	0	0	0	0	64	0	0	0	0	0	0	2	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	542	330	0	5000	40	0	36	64	0	98	0	0	0	4	0	2	0	0	0	3	0	6	0	0	0	542	0	5000
PF3D7_0716500	PF3D7_0716500	rna_PF3D7_0716500-1		1	1	3	1084	0	0	580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487	580	0	5000	3	0	26	17	0	131	0	0	0	0	0	0	0	0	0	0	0	0	2	0	26	487	0	5000
PF3D7_0716600	PF3D7_0716600	rna_PF3D7_0716600-1		1	1	2	1056	0	0	617	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	128	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	311	617	0	5000	4	0	1350	128	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	5000
PF3D7_0716700	PF3D7_0716700	rna_PF3D7_0716700-1		4	0	5	1042	0	0	455	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	587	455	0	5000	9	0	3018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	587	0	5000
PF3D7_0716800	PF3D7_0716800	rna_PF3D7_0716800-1		81	3	0	934	0	0	618	12	2	0	4	5	10	0	0	0	0	18	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	2	4	2	4	8	0	0	0	0	0	0	1	313	618	0	5000	52	0	90	3	0	218	20	0	1427	0	0	0	0	0	0	2	0	6	10	0	90	313	0	5000
PF3D7_0716900	PF3D7_0716900	rna_PF3D7_0716900-1		0	1	0	1110	0	0	691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	419	691	0	5000	1	0	969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	0	5000
PF3D7_0717000	PF3D7_0717000	rna_PF3D7_0717000-1		5	34	16	916	0	0	266	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	338	15	0	0	0	1	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	7	312	266	0	5000	27	0	132	338	0	94	0	0	0	0	0	0	1	0	2	27	0	6	0	0	0	312	0	5000
PF3D7_0717100	PF3D7_0717100	rna_PF3D7_0717100-1		0	2	2	1287	0	1	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	691	583	0	5000	4	0	2691	13	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	691	0	5000
PF3D7_0717200	PF3D7_0717200	rna_PF3D7_0717200-1		0	0	52	809	1	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	4	13	0	15	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	273	0	5000	52	0	1123	4	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	0	5000
PF3D7_0717300	PF3D7_0717300	rna_PF3D7_0717300-1		0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	593	0	0	0	0	0	0	61	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	593	0	5000
PF3D7_0717400	PF3D7_0717400	rna_PF3D7_0717400-1		0	0	0	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529	0	5000
